school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes
GP,M,15,U,GT3,T,4,4,health,health,other,yes,yes
GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes
GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes
GP,M,15,U,GT3,T,2,2,other,other,home,yes,yes
GP,M,15,U,GT3,T,4,2,health,services,other,yes,yes
GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes
GP,M,15,U,GT3,T,4,4,health,services,home,no,yes
GP,M,15,U,GT3,T,4,4,services,services,reputation,yes,yes
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,yes,yes
GP,M,15,U,LE3,T,3,3,other,other,course,no,yes
GP,M,16,U,GT3,T,3,2,other,other,home,no,yes
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no
GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes
GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes
GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes
GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes
GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes
GP,M,15,U,GT3,T,4,2,teacher,other,home,yes,no
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes
GP,M,15,U,LE3,A,4,2,health,health,other,yes,no
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no
GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes
GP,M,15,U,GT3,A,4,4,other,services,reputation,no,yes
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes
GP,M,15,U,GT3,T,4,2,other,other,course,yes,yes
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,other,home,yes,yes
GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes
GP,M,15,U,GT3,T,2,3,other,services,course,no,yes
GP,M,15,U,GT3,T,2,3,other,other,home,no,yes
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes
GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes
GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes
GP,M,15,U,LE3,T,2,2,services,health,reputation,yes,yes
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes
GP,M,16,R,GT3,T,4,3,services,other,reputation,no,yes
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no
GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes
GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes
GP,M,16,U,GT3,T,4,4,services,services,other,yes,yes
GP,M,16,U,GT3,T,4,4,services,teacher,other,yes,yes
GP,M,15,U,GT3,T,4,4,services,other,course,no,yes
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes
GP,M,15,U,GT3,A,3,4,services,other,course,yes,yes
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes
GP,M,15,R,GT3,T,4,4,other,other,home,yes,yes
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,yes,yes
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes
GP,M,15,U,LE3,T,4,2,teacher,other,course,yes,yes
GP,M,15,R,GT3,T,2,1,health,services,reputation,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,yes,no
GP,M,16,U,GT3,T,3,3,other,services,home,yes,yes
GP,M,17,R,GT3,T,1,3,other,other,course,yes,yes
GP,M,15,U,GT3,T,3,4,other,other,reputation,yes,yes
GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes
GP,M,15,U,GT3,T,2,2,services,services,home,yes,yes
GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes
GP,M,16,U,GT3,T,4,4,health,other,course,yes,yes
GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes
GP,M,15,U,GT3,T,3,4,services,services,home,yes,yes
GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes
GP,F,19,U,GT3,T,0,1,at_home,other,course,no,no
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes
GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes
GP,F,17,U,LE3,T,2,2,other,other,course,yes,yes
GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,yes,no
GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes
GP,M,17,R,GT3,T,3,4,at_home,other,course,yes,no
GP,F,16,U,GT3,A,3,3,other,other,course,no,yes
GP,M,16,U,LE3,T,1,1,services,other,course,yes,no
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes
GP,M,15,U,GT3,T,4,3,teacher,services,course,yes,yes
GP,M,16,U,LE3,T,2,2,services,services,reputation,yes,yes
GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes
GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes
GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes
GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes
GP,M,15,U,LE3,A,2,1,services,other,course,yes,yes
GP,M,18,U,LE3,T,1,1,other,other,course,yes,yes
GP,M,16,U,LE3,T,2,1,at_home,other,course,yes,no
GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes
GP,M,19,U,GT3,T,3,2,services,at_home,home,yes,yes
GP,F,17,U,GT3,T,4,4,other,teacher,course,yes,no
GP,M,15,R,GT3,T,2,3,at_home,services,course,yes,no
GP,M,17,R,LE3,T,1,2,other,other,reputation,yes,no
GP,F,18,R,GT3,T,1,1,at_home,other,course,no,no
GP,M,16,R,GT3,T,2,2,at_home,other,course,no,no
GP,M,16,U,GT3,T,3,3,other,services,course,yes,yes
GP,M,17,R,LE3,T,2,1,at_home,other,course,yes,yes
GP,M,17,R,LE3,T,1,1,other,services,course,yes,no
GP,M,16,U,GT3,T,2,2,other,other,course,yes,yes
GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes
GP,F,16,U,GT3,T,2,2,other,other,home,no,yes
GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes
GP,M,16,U,GT3,T,3,4,other,other,course,no,yes
GP,M,16,U,GT3,T,1,0,other,other,reputation,yes,yes
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,yes,yes
GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes
GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes
GP,M,17,U,LE3,T,4,3,teacher,other,course,yes,yes
GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes
GP,M,17,U,GT3,T,3,3,other,other,reputation,no,yes
GP,M,16,R,GT3,T,4,2,teacher,services,other,yes,yes
GP,M,17,U,GT3,T,4,3,other,other,course,yes,yes
GP,M,16,U,GT3,T,4,3,teacher,other,home,yes,yes
GP,F,17,U,GT3,T,2,4,services,services,reputation,yes,no
GP,F,17,U,LE3,T,3,3,other,other,reputation,yes,yes
GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes
GP,M,17,U,GT3,T,3,3,services,services,other,yes,yes
GP,M,16,U,GT3,T,1,2,services,services,other,yes,yes
GP,M,16,U,LE3,T,2,1,other,other,course,yes,yes
GP,F,17,U,GT3,A,3,3,health,other,reputation,no,yes
GP,M,17,R,GT3,T,1,2,at_home,other,home,yes,no
GP,F,16,U,GT3,T,2,3,services,services,course,yes,yes
GP,F,17,U,GT3,T,1,1,at_home,services,course,yes,yes
GP,M,17,U,GT3,T,1,2,at_home,services,other,no,yes
GP,M,16,R,GT3,T,3,3,services,services,reputation,yes,yes
GP,M,16,U,GT3,T,2,3,other,other,home,yes,yes
GP,F,17,U,LE3,T,2,4,services,services,course,yes,yes
GP,M,17,U,GT3,T,4,4,services,teacher,home,yes,yes
GP,M,16,R,LE3,T,3,3,teacher,other,home,yes,yes
GP,F,17,U,GT3,T,4,4,services,teacher,home,yes,yes
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes
GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes
GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no
GP,F,17,U,GT3,T,1,1,other,other,course,no,no
GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes
GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes
GP,F,17,U,GT3,T,3,4,at_home,services,home,yes,yes
GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes
GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes
GP,F,16,U,GT3,T,1,1,at_home,other,home,yes,no
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes
GP,F,19,U,GT3,T,3,3,other,other,reputation,yes,yes
GP,M,17,U,LE3,T,4,4,services,other,home,yes,yes
GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes
GP,M,18,U,GT3,T,2,2,services,other,home,yes,yes
GP,F,17,R,LE3,T,4,4,services,other,other,yes,no
GP,F,17,U,LE3,T,3,2,other,other,reputation,yes,yes
GP,F,17,U,GT3,T,4,3,other,other,reputation,yes,yes
GP,M,18,U,LE3,T,3,3,services,health,home,yes,yes
GP,F,17,U,GT3,T,2,3,at_home,other,home,yes,no
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,yes,yes
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,yes,no
GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes
GP,M,18,U,GT3,T,2,2,other,other,home,yes,yes
GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes
GP,F,18,R,GT3,T,3,1,other,other,reputation,yes,yes
GP,F,17,U,GT3,T,3,2,other,other,course,no,yes
GP,M,17,U,LE3,T,2,3,services,services,reputation,no,yes
GP,M,18,U,LE3,T,2,1,at_home,other,course,yes,yes
GP,F,17,U,GT3,A,2,1,other,other,course,yes,yes
GP,F,17,U,LE3,T,4,3,health,other,reputation,yes,yes
GP,M,17,R,GT3,T,2,2,other,other,course,yes,yes
GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,yes,yes
GP,M,16,U,GT3,T,4,4,health,other,reputation,yes,yes
GP,M,16,U,LE3,T,1,1,other,other,home,yes,yes
GP,M,16,U,GT3,T,3,2,at_home,other,reputation,yes,yes
GP,M,17,U,LE3,T,2,2,other,other,home,no,yes
GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes
GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no
GP,M,18,U,GT3,T,2,2,other,services,reputation,yes,yes
GP,M,17,U,LE3,T,4,3,health,other,course,yes,yes
GP,M,17,R,LE3,A,4,4,teacher,other,course,yes,yes
GP,M,16,U,LE3,T,4,3,teacher,other,course,no,yes
GP,M,16,U,GT3,T,4,4,services,services,course,yes,yes
GP,M,16,U,GT3,T,4,4,services,services,course,yes,yes
GP,F,18,U,GT3,T,2,1,other,other,course,no,yes
GP,M,16,U,GT3,T,2,1,other,other,course,yes,yes
GP,M,17,U,GT3,T,2,3,other,other,course,yes,yes
GP,M,22,U,GT3,T,3,1,services,services,other,no,yes
GP,M,18,R,LE3,T,3,3,other,services,course,yes,yes
GP,M,16,U,GT3,T,0,2,other,other,other,no,yes
GP,M,18,U,GT3,T,3,2,services,other,course,yes,yes
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,no,yes
GP,M,18,U,GT3,T,2,1,services,services,other,no,yes
GP,M,16,R,GT3,T,2,1,other,other,course,no,no
GP,M,17,R,GT3,T,2,1,other,other,course,no,yes
GP,M,17,U,LE3,T,1,1,health,other,course,yes,yes
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,yes,yes
GP,M,19,U,LE3,A,4,3,services,at_home,reputation,yes,yes
GP,M,18,U,GT3,T,2,1,other,other,home,yes,yes
GP,F,17,U,LE3,T,2,2,services,services,course,yes,yes
GP,F,18,U,GT3,T,4,3,services,other,home,yes,yes
GP,M,18,U,GT3,T,4,3,teacher,other,course,no,yes
GP,M,18,R,GT3,T,3,2,other,other,course,no,no
GP,F,17,U,GT3,T,3,3,other,other,home,no,no
GP,F,18,U,GT3,T,2,2,at_home,services,home,yes,yes
GP,M,18,R,LE3,A,3,4,other,other,reputation,yes,yes
GP,M,17,U,GT3,T,3,1,services,other,other,yes,yes
GP,F,18,R,GT3,T,4,4,teacher,other,reputation,yes,yes
GP,M,18,U,GT3,T,4,2,health,other,reputation,yes,yes
GP,F,18,R,GT3,T,2,1,other,other,reputation,yes,yes
GP,F,19,U,GT3,T,3,3,other,services,home,yes,yes
GP,F,18,U,GT3,T,2,3,other,services,reputation,yes,yes
GP,F,18,U,LE3,T,1,1,other,other,home,no,no
GP,M,17,R,GT3,T,1,2,at_home,at_home,home,no,no
GP,F,17,U,GT3,T,2,4,at_home,health,reputation,yes,yes
GP,F,17,U,LE3,T,2,2,services,other,course,yes,yes
GP,F,18,R,GT3,A,3,2,other,services,home,no,yes
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes
GP,F,18,U,GT3,T,4,4,health,health,reputation,yes,yes
GP,M,18,U,LE3,T,4,3,teacher,services,course,yes,yes
GP,M,17,U,LE3,A,4,1,services,other,home,yes,yes
GP,M,17,U,LE3,A,3,2,teacher,services,home,yes,yes
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,yes,no
GP,F,18,U,GT3,T,1,1,other,other,home,yes,yes
GP,F,18,U,GT3,T,1,1,other,other,home,yes,yes
GP,F,17,U,GT3,T,2,2,other,other,course,no,yes
GP,M,17,U,GT3,T,1,1,other,other,reputation,no,yes
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,yes,yes
GP,F,17,U,GT3,T,1,1,services,teacher,reputation,yes,yes
GP,M,18,U,GT3,T,2,1,services,services,reputation,yes,yes
GP,M,18,U,LE3,A,4,4,teacher,teacher,reputation,yes,yes
GP,M,18,U,GT3,T,4,2,teacher,other,home,yes,yes
GP,F,17,U,GT3,T,4,3,health,services,reputation,yes,yes
GP,F,17,R,LE3,T,3,1,services,other,reputation,yes,no
GP,M,18,R,LE3,T,3,2,services,other,reputation,yes,yes
GP,M,17,U,GT3,T,3,3,health,other,home,yes,yes
GP,F,19,U,GT3,T,4,4,health,other,reputation,yes,yes
GP,F,18,U,LE3,T,4,3,other,other,home,yes,yes
GP,F,18,U,GT3,T,4,3,other,other,reputation,yes,yes
GP,M,18,U,LE3,T,4,4,teacher,teacher,home,yes,yes
GP,F,18,U,LE3,A,4,4,health,other,home,yes,yes
GP,M,17,U,LE3,T,4,4,other,teacher,home,yes,yes
GP,F,17,U,GT3,T,4,2,other,other,reputation,yes,yes
GP,F,17,U,GT3,T,3,2,health,health,reputation,no,yes
GP,M,20,U,GT3,A,3,2,services,other,course,yes,no
GP,M,19,R,GT3,T,3,3,other,services,reputation,yes,no
GP,F,18,U,GT3,T,2,1,services,other,course,yes,yes
GP,F,18,U,GT3,T,4,3,other,other,course,yes,yes
GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes
GP,F,18,U,GT3,T,4,4,teacher,other,course,yes,yes
GP,F,17,U,GT3,A,4,3,services,services,course,yes,yes
GP,F,17,U,GT3,T,2,2,other,other,course,yes,no
GP,F,17,R,LE3,T,2,2,services,services,course,yes,yes
GP,F,17,U,GT3,T,3,1,services,services,course,no,yes
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,yes,yes
GP,M,18,U,GT3,T,4,4,other,other,course,yes,yes
GP,M,17,U,GT3,T,3,3,other,services,reputation,no,yes
GP,M,17,R,GT3,T,2,2,services,other,course,yes,yes
GP,F,17,U,GT3,T,4,4,teacher,services,course,yes,yes
GP,F,17,U,GT3,T,4,4,teacher,services,course,yes,yes
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,no,yes
GP,M,18,U,LE3,T,2,2,other,other,course,yes,yes
GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes
GP,F,18,U,GT3,T,3,3,services,services,home,yes,yes
GP,F,18,U,LE3,T,2,2,other,other,home,no,yes
GP,F,18,R,GT3,T,2,2,at_home,other,course,yes,no
GP,F,17,U,GT3,T,3,4,services,other,course,yes,yes
GP,F,17,U,GT3,T,3,2,other,other,home,yes,yes
GP,F,18,U,LE3,T,3,3,services,services,home,yes,yes
GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes
GP,M,18,U,LE3,T,3,4,services,other,home,yes,yes
GP,F,17,U,GT3,A,2,2,at_home,at_home,home,yes,yes
GP,F,18,U,GT3,T,2,3,at_home,other,course,yes,yes
GP,F,18,U,GT3,T,3,2,other,services,other,yes,yes
GP,M,18,R,GT3,T,4,3,teacher,services,course,yes,yes
GP,M,18,U,GT3,T,4,3,teacher,other,course,yes,yes
GP,F,17,U,GT3,T,4,3,health,other,reputation,yes,yes
MS,M,18,R,GT3,T,3,2,other,other,course,no,yes
MS,M,19,R,GT3,T,1,1,other,services,home,yes,yes
MS,M,17,U,GT3,T,3,3,health,other,course,yes,yes
MS,M,18,U,LE3,T,1,3,at_home,services,course,yes,yes
MS,M,19,R,GT3,T,1,1,other,other,home,yes,yes
MS,M,17,R,GT3,T,4,3,services,other,home,no,yes
MS,F,18,U,GT3,T,3,3,services,services,course,yes,no
MS,F,17,R,GT3,T,4,4,teacher,services,other,yes,yes
MS,F,17,U,LE3,A,3,2,services,other,reputation,yes,no
MS,M,18,U,LE3,T,1,1,other,services,home,no,yes
MS,F,18,U,LE3,T,1,1,at_home,services,course,yes,yes
MS,F,18,U,GT3,T,3,3,services,services,other,yes,yes
MS,F,17,U,LE3,T,4,4,at_home,at_home,course,yes,yes
MS,F,17,R,GT3,T,1,2,other,services,course,no,no
MS,M,18,R,GT3,T,1,3,at_home,other,course,yes,no
MS,M,18,U,LE3,T,4,4,teacher,services,other,yes,yes
MS,F,17,R,GT3,T,1,1,other,services,reputation,yes,yes
MS,F,18,U,GT3,T,2,3,at_home,services,course,yes,yes
MS,F,18,R,GT3,T,4,4,other,teacher,other,no,yes
MS,M,18,R,LE3,T,1,2,at_home,services,other,yes,yes
MS,F,17,U,GT3,T,2,2,other,at_home,home,yes,no
MS,F,17,R,GT3,T,1,2,other,other,course,yes,yes
MS,F,18,R,LE3,T,4,4,other,other,reputation,yes,yes
MS,F,18,R,GT3,T,1,1,other,other,home,yes,yes
MS,F,18,R,LE3,T,4,4,teacher,services,course,yes,yes
MS,F,18,U,GT3,T,3,3,other,other,home,yes,yes
MS,F,17,R,GT3,T,3,1,at_home,other,reputation,no,yes
MS,M,18,U,GT3,T,4,4,teacher,teacher,home,no,yes
MS,M,18,R,GT3,T,2,1,other,other,other,no,yes
MS,M,17,U,GT3,T,2,3,other,services,home,yes,yes
MS,M,19,R,GT3,T,1,1,other,services,other,yes,no
MS,M,18,R,GT3,T,4,2,other,other,home,yes,no
MS,F,18,R,GT3,T,2,2,at_home,other,other,yes,no
MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,yes,yes
MS,F,19,R,GT3,T,2,3,services,other,course,no,yes
MS,F,18,U,LE3,T,3,1,teacher,services,course,yes,yes
MS,F,18,U,GT3,T,1,1,other,other,course,yes,no
MS,F,18,U,GT3,T,1,1,other,other,course,yes,no
MS,M,17,U,LE3,T,3,1,services,services,course,no,yes
MS,M,18,R,LE3,T,3,2,services,other,course,no,yes
